Date,Sector Return,PPI,Hwage,Electricity,PPI_Change,Hwage_Change,Electricity_Change,CPI,CPI_Change,Oil,Oil_Change
3/1/2015,0.061471187,215,25.04,10.41,0,0,0,8.88346,0,49.59,0
4/1/2015,-0.00415968,214.5,24.94,10.41,-0.002325581,-0.00399361,0,10.1193,0.139116966,50.12,0.010687639
5/1/2015,0.000489359,213.7,24.88,10.41,-0.003729604,-0.002405774,0,11.89192,0.175172196,59.1,0.179169992
6/1/2015,0.019423807,213.7,24.76,10.41,0,-0.004823151,0,14.05434,0.181839434,60.24,0.01928934
7/1/2015,-0.017885139,213.7,24.83,10.41,0,0.002827141,0,12.68962,-0.097103101,56.94,-0.054780876
8/1/2015,0.015602254,213.3,25.04,10.41,-0.001871783,0.008457511,0,13.61511,0.072932838,47.11,-0.172637864
9/1/2015,-0.057409634,212.5,25.05,10.41,-0.003750586,0.000399361,0,13.08216,-0.03914401,45.38,-0.036722564
10/1/2015,-0.031576124,212.4,25.14,10.41,-0.000470588,0.003592814,0,9.1283,-0.302232965,44.75,-0.013882768
11/1/2015,0.07303419,211.7,25.37,10.41,-0.003295669,0.009148767,0,8.3831,-0.08163623,46.12,0.030614525
12/1/2015,0.006196222,210.9,25.2,10.41,-0.003778932,-0.006700828,0,7.99555,-0.046229915,40.58,-0.120121422
1/1/2016,-0.020965303,211.4,25.5,10.27,0.002370792,0.011904762,-0.013448607,7.29629,-0.087456147,37.13,-0.08501725
2/1/2016,-0.05610972,211.3,25.48,10.27,-0.000473037,-0.000784314,0,7.62402,0.044917348,31.62,-0.148397522
3/1/2016,0.012440425,211.6,25.49,10.27,0.001419782,0.000392465,0,7.64884,0.0032555,34.39,0.087602783
4/1/2016,0.076334614,212.7,25.59,10.27,0.005198488,0.003923107,0,4.3199,-0.43522155,35.36,0.028205874
5/1/2016,0.010565654,213.7,25.67,10.27,0.004701457,0.003126221,0,3.01007,-0.303208408,44.75,0.265554299
6/1/2016,0.024788162,214.6,25.41,10.27,0.004211511,-0.010128555,0,3.26883,0.085964778,49.07,0.096536313
7/1/2016,-0.000687619,215.3,25.52,10.27,0.003261883,0.004329004,0,3.54955,0.085877822,49.02,-0.001018953
8/1/2016,0.041808892,216,25.5,10.27,0.003251277,-0.000783699,0,3.05848,-0.138347114,40.05,-0.182986536
9/1/2016,0.007556397,215.3,25.73,10.27,-0.003240741,0.009019608,0,3.54234,0.158202767,43.17,0.077902622
10/1/2016,0.002970984,214.8,26.02,10.27,-0.002322341,0.01127089,0,5.25653,0.483914588,47.72,0.105397267
11/1/2016,-0.021530832,214.5,25.84,10.27,-0.001396648,-0.006917756,0,7.84504,0.492437026,46.66,-0.022212909
12/1/2016,0.05106665,215.5,25.87,10.27,0.004662005,0.001160991,0,6.92465,-0.117321263,51.08,0.094727818
1/1/2017,0.013465438,217.3,26.31,10.48,0.008352668,0.017008118,0.020447907,4.82619,-0.303042031,53.75,0.052270948
2/1/2017,0.030965899,218.8,26.17,10.48,0.006902899,-0.005321171,0,5.22884,0.083430201,53.9,0.002790698
3/1/2017,0.037546965,219.7,26.14,10.48,0.004113346,-0.001146351,0,3.9663,-0.241456996,53.82,-0.00148423
4/1/2017,0.002036437,221,26.42,10.48,0.00591716,0.010711553,0,3.98498,0.004709679,50.54,-0.060943887
5/1/2017,0.011843483,221.7,26.13,10.48,0.003167421,-0.010976533,0,5.03729,0.264069079,48.83,-0.033834586
6/1/2017,0.018628155,221.9,26.03,10.48,0.00090212,-0.003827019,0,2.56467,-0.490863143,48.32,-0.010444399
7/1/2017,0.007390005,221.9,26.35,10.48,0,0.012293507,0,2.59933,0.013514409,46.02,-0.047599338
8/1/2017,0.017507808,222.4,26.17,10.48,0.002253267,-0.00683112,0,1.715,-0.340214594,49.19,0.068883094
